org_code,risk_score,risk_category,pre_pandemic_recovery_rate,deprivation_decile,recovery_period_rate
01H,0.9944094366410227,High Risk,50.76923076923077,6.0,51.266666666666666
00T,0.9902390266165892,High Risk,51.15384615384615,9.0,48.86666666666667
01Y,0.9898316389295796,High Risk,51.53846153846154,7.0,48.4
06T,0.9898007616864231,High Risk,48.92307692307692,7.0,48.666666666666664
11M,0.98711450275907,High Risk,49.92307692307692,3.0,49.8
99A,0.9837899458129545,High Risk,45.38461538461539,10.0,45.42857142857143
01D,0.9836119713677121,High Risk,51.23076923076923,10.0,50.06666666666667
03H,0.9836102880296581,High Risk,46.53846153846154,9.0,49.333333333333336
15F,0.9823944700156864,High Risk,45.53846153846154,8.0,41.333333333333336
01G,0.9813267022637223,High Risk,43.92307692307692,10.0,39.0
01J,0.9803832782227766,High Risk,49.84615384615385,10.0,49.06666666666667
14L,0.9799270175270108,High Risk,45.76923076923077,10.0,45.06666666666667
03K,0.9793763936386959,High Risk,44.69230769230769,6.0,48.2
03N,0.9780368374976304,High Risk,50.23076923076923,8.0,50.06666666666667
02E,0.9758723724354075,High Risk,50.23076923076923,5.0,47.0
12F,0.9751344204635072,High Risk,35.083333333333336,9.0,33.93333333333333
10Q,0.9745090855310141,High Risk,50.53846153846154,1.0,47.733333333333334
13T,0.973519982545442,High Risk,47.76923076923077,9.0,49.4
04C,0.965534351805817,High Risk,49.38461538461539,9.0,47.6
03R,0.9638098905850366,High Risk,52.23076923076923,8.0,50.6
01V,0.950847658582434,High Risk,50.166666666666664,8.0,46.333333333333336
09D,0.9495524880344788,High Risk,44.61538461538461,5.0,44.0
01W,0.9493768065690823,High Risk,55.07692307692308,6.0,50.6
01F,0.9491163555485882,High Risk,47.84615384615385,10.0,50.266666666666666
15E,0.947225759468929,High Risk,52.30769230769231,9.0,49.13333333333333
06Q,0.9449206063136462,High Risk,50.53846153846154,2.0,49.0
11J,0.9379511553374111,High Risk,51.23076923076923,4.0,50.53333333333333
06L,0.9338274092321158,High Risk,51.07692307692308,4.0,52.4
11N,0.9281139610782544,High Risk,45.0,4.0,39.53333333333333
06H,0.9254510855567238,High Risk,50.0,3.0,49.06666666666667
03L,0.908107568789751,High Risk,56.30769230769231,9.0,49.53333333333333
00V,0.9080491284658785,High Risk,54.07692307692308,7.0,49.13333333333333
00X,0.894473427009517,High Risk,50.76923076923077,3.0,49.266666666666666
01E,0.8822147865184162,High Risk,49.69230769230769,5.0,50.666666666666664
07G,0.8594455179853295,High Risk,53.30769230769231,6.0,50.46666666666667
01T,0.8329433536195556,High Risk,44.166666666666664,8.0,45.266666666666666
02X,0.8036107521989816,High Risk,52.23076923076923,9.0,46.93333333333333
