period_start,analytical_period,measure_id,measure_name,measure_value
2019-02-01,pre_pandemic,M001,Count_ReferralsReceived,137647.0
2019-02-01,pre_pandemic,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,88.6
2019-02-01,pre_pandemic,M076,Count_FinishedCourseTreatment,46212.0
2019-02-01,pre_pandemic,M192,Percentage_Recovery,53.6
2019-02-01,pre_pandemic,M195,Percentage_ReliableRecovery,51.1
2019-03-01,pre_pandemic,M001,Count_ReferralsReceived,146661.0
2019-03-01,pre_pandemic,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,88.9
2019-03-01,pre_pandemic,M076,Count_FinishedCourseTreatment,50233.0
2019-03-01,pre_pandemic,M192,Percentage_Recovery,53.1
2019-03-01,pre_pandemic,M195,Percentage_ReliableRecovery,50.6
2019-04-01,pre_pandemic,M001,Count_ReferralsReceived,133191.0
2019-04-01,pre_pandemic,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,88.0
2019-04-01,pre_pandemic,M076,Count_FinishedCourseTreatment,49389.0
2019-04-01,pre_pandemic,M192,Percentage_Recovery,52.9
2019-04-01,pre_pandemic,M195,Percentage_ReliableRecovery,50.2
2019-05-01,pre_pandemic,M001,Count_ReferralsReceived,144529.0
2019-05-01,pre_pandemic,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,87.8
2019-05-01,pre_pandemic,M076,Count_FinishedCourseTreatment,52086.0
2019-05-01,pre_pandemic,M192,Percentage_Recovery,52.1
2019-05-01,pre_pandemic,M195,Percentage_ReliableRecovery,49.5
2019-06-01,pre_pandemic,M001,Count_ReferralsReceived,137264.0
2019-06-01,pre_pandemic,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,86.8
2019-06-01,pre_pandemic,M076,Count_FinishedCourseTreatment,47783.0
2019-06-01,pre_pandemic,M192,Percentage_Recovery,51.4
2019-06-01,pre_pandemic,M195,Percentage_ReliableRecovery,48.9
2019-07-01,pre_pandemic,M001,Count_ReferralsReceived,145159.0
2019-07-01,pre_pandemic,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,85.7
2019-07-01,pre_pandemic,M076,Count_FinishedCourseTreatment,58573.0
2019-07-01,pre_pandemic,M192,Percentage_Recovery,51.4
2019-07-01,pre_pandemic,M195,Percentage_ReliableRecovery,48.8
2019-08-01,pre_pandemic,M001,Count_ReferralsReceived,130601.0
2019-08-01,pre_pandemic,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,87.3
2019-08-01,pre_pandemic,M076,Count_FinishedCourseTreatment,48547.0
2019-08-01,pre_pandemic,M192,Percentage_Recovery,52.2
2019-08-01,pre_pandemic,M195,Percentage_ReliableRecovery,49.6
2019-09-01,pre_pandemic,M001,Count_ReferralsReceived,140325.0
2019-09-01,pre_pandemic,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,87.3
2019-09-01,pre_pandemic,M076,Count_FinishedCourseTreatment,50103.0
2019-09-01,pre_pandemic,M192,Percentage_Recovery,51.9
2019-09-01,pre_pandemic,M195,Percentage_ReliableRecovery,49.4
2019-10-01,pre_pandemic,M001,Count_ReferralsReceived,159497.0
2019-10-01,pre_pandemic,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,87.3
2019-10-01,pre_pandemic,M076,Count_FinishedCourseTreatment,53058.0
2019-10-01,pre_pandemic,M192,Percentage_Recovery,51.3
2019-10-01,pre_pandemic,M195,Percentage_ReliableRecovery,48.7
2019-11-01,pre_pandemic,M001,Count_ReferralsReceived,143418.0
2019-11-01,pre_pandemic,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,87.7
2019-11-01,pre_pandemic,M076,Count_FinishedCourseTreatment,49798.0
2019-11-01,pre_pandemic,M192,Percentage_Recovery,50.6
2019-11-01,pre_pandemic,M195,Percentage_ReliableRecovery,47.9
2019-12-01,pre_pandemic,M001,Count_ReferralsReceived,110838.0
2019-12-01,pre_pandemic,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,88.6
2019-12-01,pre_pandemic,M076,Count_FinishedCourseTreatment,44925.0
2019-12-01,pre_pandemic,M192,Percentage_Recovery,50.7
2019-12-01,pre_pandemic,M195,Percentage_ReliableRecovery,48.0
2020-01-01,pre_pandemic,M001,Count_ReferralsReceived,163182.0
2020-01-01,pre_pandemic,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,88.1
