analytical_period,measure_id,measure_name,avg_value,min_value,max_value,months_covered
pandemic,M001,Count_ReferralsReceived,118963.69230769231,57814.0,159559.0,13
pre_pandemic,M001,Count_ReferralsReceived,141694.23076923078,110838.0,163182.0,13
recovery,M001,Count_ReferralsReceived,148126.90163934426,110131.0,176760.0,61
pandemic,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,89.82307692307693,86.2,92.9,13
pre_pandemic,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,87.6846153846154,85.7,88.9,13
recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,90.27704918032786,87.8,92.8,61
pandemic,M055,Percentage_FirstTreatment18WeeksFinishedCourseTreatment,98.0076923076923,97.4,98.8,13
pre_pandemic,M055,Percentage_FirstTreatment18WeeksFinishedCourseTreatment,98.51538461538462,97.8,99.0,13
recovery,M055,Percentage_FirstTreatment18WeeksFinishedCourseTreatment,98.45573770491804,97.8,99.1,61
pandemic,M076,Count_FinishedCourseTreatment,53452.692307692305,47375.0,60451.0,13
pre_pandemic,M076,Count_FinishedCourseTreatment,49943.769230769234,44925.0,58573.0,13
recovery,M076,Count_FinishedCourseTreatment,55789.62295081967,47781.0,62183.0,61
pandemic,M186,Percentage_Improvement,68.00769230769231,64.6,69.6,13
pre_pandemic,M186,Percentage_Improvement,67.45384615384616,66.6,68.4,13
recovery,M186,Percentage_Improvement,66.77435897435898,65.5,68.9,39
recovery,M186,Percentage_ReliableImprovement,67.69090909090909,66.5,68.7,22
pandemic,M192,Percentage_Recovery,51.16923076923077,46.6,53.4,13
pre_pandemic,M192,Percentage_Recovery,51.79230769230769,50.6,53.6,13
recovery,M192,Percentage_Recovery,50.14426229508197,48.4,52.5,61
pandemic,M195,Percentage_ReliableRecovery,48.50769230769231,44.0,50.6,13
pre_pandemic,M195,Percentage_ReliableRecovery,49.184615384615384,47.9,51.1,13
recovery,M195,Percentage_ReliableRecovery,47.19672131147541,45.4,49.8,61
