period_start,analytical_period,org_code,org_name,recovery_rate
2023-01-01,recovery,Y56,LONDON COMMISSIONING REGION,50.0
2023-01-01,recovery,Y58,SOUTH WEST COMMISSIONING REGION,48.0
2023-01-01,recovery,Y59,SOUTH EAST COMMISSIONING REGION,49.0
2023-01-01,recovery,Y60,MIDLANDS COMMISSIONING REGION,50.0
2023-01-01,recovery,Y61,EAST OF ENGLAND COMMISSIONING REGION,50.0
2023-01-01,recovery,Y62,NORTH WEST COMMISSIONING REGION,49.0
2023-01-01,recovery,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,51.0
2023-02-01,recovery,Y56,LONDON COMMISSIONING REGION,51.0
2023-02-01,recovery,Y58,SOUTH WEST COMMISSIONING REGION,48.0
2023-02-01,recovery,Y59,SOUTH EAST COMMISSIONING REGION,50.0
2023-02-01,recovery,Y60,MIDLANDS COMMISSIONING REGION,49.0
2023-02-01,recovery,Y61,EAST OF ENGLAND COMMISSIONING REGION,51.0
2023-02-01,recovery,Y62,NORTH WEST COMMISSIONING REGION,50.0
2023-02-01,recovery,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,53.0
2023-03-01,recovery,Y56,LONDON COMMISSIONING REGION,52.0
2023-03-01,recovery,Y58,SOUTH WEST COMMISSIONING REGION,49.0
2023-03-01,recovery,Y59,SOUTH EAST COMMISSIONING REGION,51.0
2023-03-01,recovery,Y60,MIDLANDS COMMISSIONING REGION,51.0
2023-03-01,recovery,Y61,EAST OF ENGLAND COMMISSIONING REGION,51.0
2023-03-01,recovery,Y62,NORTH WEST COMMISSIONING REGION,51.0
2023-03-01,recovery,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,53.0
2023-04-01,recovery,Y56,LONDON COMMISSIONING REGION,50.0
2023-04-01,recovery,Y58,SOUTH WEST COMMISSIONING REGION,50.0
2023-04-01,recovery,Y59,SOUTH EAST COMMISSIONING REGION,50.0
2023-04-01,recovery,Y60,MIDLANDS COMMISSIONING REGION,51.0
2023-04-01,recovery,Y61,EAST OF ENGLAND COMMISSIONING REGION,52.0
2023-04-01,recovery,Y62,NORTH WEST COMMISSIONING REGION,51.0
2023-04-01,recovery,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,52.0
2023-05-01,recovery,Y56,LONDON COMMISSIONING REGION,50.0
2023-05-01,recovery,Y58,SOUTH WEST COMMISSIONING REGION,49.0
2023-05-01,recovery,Y59,SOUTH EAST COMMISSIONING REGION,50.0
2023-05-01,recovery,Y60,MIDLANDS COMMISSIONING REGION,51.0
2023-05-01,recovery,Y61,EAST OF ENGLAND COMMISSIONING REGION,51.0
2023-05-01,recovery,Y62,NORTH WEST COMMISSIONING REGION,51.0
2023-05-01,recovery,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,52.0
2023-06-01,recovery,Y56,LONDON COMMISSIONING REGION,50.0
2023-06-01,recovery,Y58,SOUTH WEST COMMISSIONING REGION,52.0
2023-06-01,recovery,Y59,SOUTH EAST COMMISSIONING REGION,50.0
2023-06-01,recovery,Y60,MIDLANDS COMMISSIONING REGION,50.0
2023-06-01,recovery,Y61,EAST OF ENGLAND COMMISSIONING REGION,52.0
2023-06-01,recovery,Y62,NORTH WEST COMMISSIONING REGION,51.0
2023-06-01,recovery,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,52.0
2023-07-01,recovery,Y56,LONDON COMMISSIONING REGION,50.0
2023-07-01,recovery,Y58,SOUTH WEST COMMISSIONING REGION,51.0
2023-07-01,recovery,Y59,SOUTH EAST COMMISSIONING REGION,51.0
2023-07-01,recovery,Y60,MIDLANDS COMMISSIONING REGION,50.0
2023-07-01,recovery,Y61,EAST OF ENGLAND COMMISSIONING REGION,51.0
2023-07-01,recovery,Y62,NORTH WEST COMMISSIONING REGION,49.0
2023-07-01,recovery,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,51.0
2023-08-01,recovery,Y56,LONDON COMMISSIONING REGION,50.0
2023-08-01,recovery,Y58,SOUTH WEST COMMISSIONING REGION,52.0
2023-08-01,recovery,Y59,SOUTH EAST COMMISSIONING REGION,49.0
2023-08-01,recovery,Y60,MIDLANDS COMMISSIONING REGION,51.0
2023-08-01,recovery,Y61,EAST OF ENGLAND COMMISSIONING REGION,50.0
2023-08-01,recovery,Y62,NORTH WEST COMMISSIONING REGION,48.0
2023-08-01,recovery,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,50.0
2023-09-01,recovery,Y56,LONDON COMMISSIONING REGION,51.0
2023-09-01,recovery,Y58,SOUTH WEST COMMISSIONING REGION,50.0
2023-09-01,recovery,Y59,SOUTH EAST COMMISSIONING REGION,50.0
2023-09-01,recovery,Y60,MIDLANDS COMMISSIONING REGION,50.0
2023-09-01,recovery,Y61,EAST OF ENGLAND COMMISSIONING REGION,50.0
2023-09-01,recovery,Y62,NORTH WEST COMMISSIONING REGION,48.0
2023-09-01,recovery,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,51.0
2023-10-01,recovery,Y56,LONDON COMMISSIONING REGION,49.0
2023-10-01,recovery,Y58,SOUTH WEST COMMISSIONING REGION,49.0
2023-10-01,recovery,Y59,SOUTH EAST COMMISSIONING REGION,49.0
2023-10-01,recovery,Y60,MIDLANDS COMMISSIONING REGION,51.0
2023-10-01,recovery,Y61,EAST OF ENGLAND COMMISSIONING REGION,47.0
2023-10-01,recovery,Y62,NORTH WEST COMMISSIONING REGION,50.0
2023-10-01,recovery,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,51.0
2023-11-01,recovery,Y56,LONDON COMMISSIONING REGION,50.0
2023-11-01,recovery,Y58,SOUTH WEST COMMISSIONING REGION,51.0
2023-11-01,recovery,Y59,SOUTH EAST COMMISSIONING REGION,49.0
2023-11-01,recovery,Y60,MIDLANDS COMMISSIONING REGION,50.0
2023-11-01,recovery,Y61,EAST OF ENGLAND COMMISSIONING REGION,49.0
2023-11-01,recovery,Y62,NORTH WEST COMMISSIONING REGION,49.0
2023-11-01,recovery,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,50.0
2023-12-01,recovery,Y56,LONDON COMMISSIONING REGION,48.0
2023-12-01,recovery,Y58,SOUTH WEST COMMISSIONING REGION,50.0
2023-12-01,recovery,Y59,SOUTH EAST COMMISSIONING REGION,49.0
2023-12-01,recovery,Y60,MIDLANDS COMMISSIONING REGION,49.0
2023-12-01,recovery,Y61,EAST OF ENGLAND COMMISSIONING REGION,47.0
2023-12-01,recovery,Y62,NORTH WEST COMMISSIONING REGION,46.0
2023-12-01,recovery,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,50.0
2024-01-01,recovery,Y56,LONDON COMMISSIONING REGION,50.0
2024-01-01,recovery,Y58,SOUTH WEST COMMISSIONING REGION,50.0
2024-01-01,recovery,Y59,SOUTH EAST COMMISSIONING REGION,50.0
2024-01-01,recovery,Y60,MIDLANDS COMMISSIONING REGION,50.0
2024-01-01,recovery,Y61,EAST OF ENGLAND COMMISSIONING REGION,48.0
2024-01-01,recovery,Y62,NORTH WEST COMMISSIONING REGION,49.0
2024-01-01,recovery,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,51.0
2024-02-01,recovery,Y56,LONDON COMMISSIONING REGION,51.0
2024-02-01,recovery,Y58,SOUTH WEST COMMISSIONING REGION,53.0
2024-02-01,recovery,Y59,SOUTH EAST COMMISSIONING REGION,51.0
2024-02-01,recovery,Y60,MIDLANDS COMMISSIONING REGION,52.0
2024-02-01,recovery,Y61,EAST OF ENGLAND COMMISSIONING REGION,50.0
2024-02-01,recovery,Y62,NORTH WEST COMMISSIONING REGION,49.0
2024-02-01,recovery,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,52.0
2024-03-01,recovery,Y56,LONDON COMMISSIONING REGION,51.0
2024-03-01,recovery,Y58,SOUTH WEST COMMISSIONING REGION,53.0
2024-03-01,recovery,Y59,SOUTH EAST COMMISSIONING REGION,51.0
2024-03-01,recovery,Y60,MIDLANDS COMMISSIONING REGION,51.0
2024-03-01,recovery,Y61,EAST OF ENGLAND COMMISSIONING REGION,50.0
2024-03-01,recovery,Y62,NORTH WEST COMMISSIONING REGION,50.0
2024-03-01,recovery,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,52.0
2024-04-01,recovery,Y56,LONDON COMMISSIONING REGION,49.0
2024-04-01,recovery,Y58,SOUTH WEST COMMISSIONING REGION,51.0
2024-04-01,recovery,Y59,SOUTH EAST COMMISSIONING REGION,48.0
2024-04-01,recovery,Y60,MIDLANDS COMMISSIONING REGION,51.0
2024-04-01,recovery,Y61,EAST OF ENGLAND COMMISSIONING REGION,51.0
2024-04-01,recovery,Y62,NORTH WEST COMMISSIONING REGION,49.0
2024-04-01,recovery,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,50.0
2024-05-01,recovery,Y56,LONDON COMMISSIONING REGION,50.0
2024-05-01,recovery,Y58,SOUTH WEST COMMISSIONING REGION,53.0
2024-05-01,recovery,Y59,SOUTH EAST COMMISSIONING REGION,49.0
